faprotax_genus;faprotax_species;faprotax_strain;faprotax_speciesStrain;faprotax_metabolism;faprotax_ref
Actinotalea;Actinotalea fermentans;;Actinotalea fermentans ;cellulolysis|xylanolysis|xylanolysis|xylanolysis|fermentation|fermentation|fermentation|aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5|# Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5|# Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5|# Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5|# Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Aeriscardovia;Aeriscardovia aeriphila;;Aeriscardovia aeriphila ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Aerobacter;Aerobacter aerogenes;;Aerobacter aerogenes ;fermentation|chemoheterotrophy;Hugh and Leifson (1953) - The taxonomic significance of fermentative versus oxidative metabolism of carbohydrates by various gram negative bacteria
Aeromicrobium;Aeromicrobium ginsengisoli;;Aeromicrobium ginsengisoli ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Aeromicrobium;Aeromicrobium ponti;;Aeromicrobium ponti ;cellulolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Aeromonas;Aeromonas caviae;;Aeromonas caviae ;animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Aeromonas;Aeromonas encheleia;;Aeromonas encheleia ;nitrate_ammonification|nitrite_ammonification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;DOI:10.1080/01490450500533866
Aeromonas;Aeromonas enteropelogenes;;Aeromonas enteropelogenes ;human_pathogens_meningitis|human_pathogens_all|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 29489.3 NCBI Taxon ID: 29489 Disease: meningitis| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 29489.3 NCBI Taxon ID: 29489 Disease: meningitis
Aeromonas;Aeromonas hydrophila;;Aeromonas hydrophila ;human_pathogens_all|animal_parasites_or_symbionts|iron_respiration|human_associated|animal_parasites_or_symbionts;DOI:10.1111/j.1574-6941.2011.01248.x| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| DOI:10.1007/978-3-642-30141-4_69
Aeromonas;Aeromonas hydrophila;H-2330;Aeromonas hydrophila H-2330;chitinolysis|chemoheterotrophy;DOI:10.1271/bbb.61.174
Aeromonas;Aeromonas liquefaciens;;Aeromonas liquefaciens ;fermentation|chemoheterotrophy;Hugh and Leifson (1953) - The taxonomic significance of fermentative versus oxidative metabolism of carbohydrates by various gram negative bacteria
Afipia;Afipia felis;;Afipia felis ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C
Agaricus;Agaricus bisporus;;Agaricus bisporus ;cellulolysis|chemoheterotrophy;Béguin and Aubert (1994) - The biological degradation of cellulose
Agreia;Agreia pratensis;;Agreia pratensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.02138-0  and  DOI:10.1099/ijs.0.02664-0
Agrobacterium;Agrobacterium albertimagni;;Agrobacterium albertimagni ;arsenite_oxidation_detoxification|dissimilatory_arsenite_oxidation;DOI:10.1080/014904502317246165
Agrobacterium;Agrobacterium larrymoorei;;Agrobacterium larrymoorei ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 4096
Agrobacterium;Agrobacterium pseudotsugae;;Agrobacterium pseudotsugae ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 180
Agrobacterium;Agrobacterium radiobacter;;Agrobacterium radiobacter ;plastic_degradation;Nomura et al (1989). A simple method for detection of enzyme activities involved in the initial step of phthalate degradation in microorganisms
Agrobacterium;Agrobacterium radiobacter;;Agrobacterium radiobacter ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 4
Agrobacterium;Agrobacterium rhizogenes;;Agrobacterium rhizogenes ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 223
Agrobacterium;Agrobacterium rubi;;Agrobacterium rubi ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 1854
Agrobacterium;Agrobacterium tumefaciens;;Agrobacterium tumefaciens ;arsenite_oxidation_detoxification|plant_pathogen|plant_pathogen|dissimilatory_arsenite_oxidation;DOI:10.1128/JB.188.3.1081-1088.2006| DOI:10.1038/303179a0| DOI:10.1126/science.1066803
Agrobacterium;Agrobacterium vitis;;Agrobacterium vitis ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 1771
Agrococcus;Agrococcus baldri;;Agrococcus baldri ;aerobic_chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Agrococcus;Agrococcus casei;;Agrococcus casei ;aerobic_chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Agrococcus;Agrococcus citreus;;Agrococcus citreus ;aerobic_chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Agrococcus;Agrococcus jejuensis;;Agrococcus jejuensis ;aerobic_chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Agrococcus;Agrococcus jenensis;;Agrococcus jenensis ;aerobic_chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Agrococcus;Agrococcus lahaulensis;;Agrococcus lahaulensis ;aerobic_chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Agrococcus;Agrococcus versicolor;;Agrococcus versicolor ;aerobic_chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Agromonas;Agromonas oligotrophica;;Agromonas oligotrophica ;nitrogen_fixation|nitrogen_fixation|aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1128/AEM.00009-13  and  DOI:10.1007/BF00399322| DOI:10.1128/AEM.00009-13| DOI:10.1128/AEM.00009-13  and  DOI:10.1007/BF00399322
Agromyces;Agromyces ulmi;;Agromyces ulmi ;xylanolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Agromyces;Agromyces cerinus;nitratus;Agromyces cerinus nitratus;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Agromyces;Agromyces ulmi;;Agromyces ulmi ;cellulolysis|xylanolysis|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Akkermansia;Akkermansia muciniphila;;Akkermansia muciniphila ;human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts;DOI:10.1099/ijs.0.02873-0
Albidiferax;Albidiferax ferrireducens;;Albidiferax ferrireducens ;manganese_respiration|iron_respiration|fumarate_respiration;Rosenberg DeLong Lory Stackebrandt Thompson (2014) - The Prokaryotes - Alphaproteobacteria and Betaproteobacteria| Rosenberg DeLong Lory Stackebrandt Thompson (2014) - The Prokaryotes - Alphaproteobacteria and Betaproteobacteria| Rosenberg DeLong Lory Stackebrandt Thompson (2014) - The Prokaryotes - Alphaproteobacteria and Betaproteobacteria
Alcaligenes;Alcaligenes defragrans;;Alcaligenes defragrans ;nitrate_respiration|nitrate_reduction |nitrate_reduction |nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C
Alcaligenes;Alcaligenes denitrificans;;Alcaligenes denitrificans ;nitrate_denitrification|nitrate_respiration|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;DOI:10.1099/00207713-33-1-85| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C
Alcaligenes;Alcaligenes eutrophus;;Alcaligenes eutrophus ;nitrate_denitrification|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Kester et al. (1997) - Production of NO and N2O by Pure Cultures of Nitrifying and Denitrifying Bacteria during Changes in Aeration
Alcaligenes;Alcaligenes faecalis;;Alcaligenes faecalis ;arsenite_oxidation_detoxification|nitrite_denitrification|dark_sulfide_oxidation|human_pathogens_all|plastic_degradation|dissimilatory_arsenite_oxidation|nitrous_oxide_denitrification|denitrification|denitrification|nitrite_respiration|dark_oxidation_of_sulfur_compounds|human_associated|animal_parasites_or_symbionts|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|denitrification|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Philips and Taylor (1976) - Oxidation of arsenite to arsenate by Alcaligenes faecalis| DOI:10.1099/00207713-33-1-85  and  Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| DOI:10.1016/j.ibiod.2010.04.005| DOI:10.1002/cncr.20604| Nomura et al (1989). A simple method for detection of enzyme activities involved in the initial step of phthalate degradation in microorganisms
Alcaligenes;Alcaligenes faecalis;MU2_03;Alcaligenes faecalis MU2_03;dark_sulfide_oxidation|dark_oxidation_of_sulfur_compounds;DOI:10.1016/j.ibiod.2010.04.005
Alcaligenes;Alcaligenes latus;;Alcaligenes latus ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C
Alcanivorax;Alcanivorax borkumensis;;Alcanivorax borkumensis ;oil_bioremediation|aliphatic_non_methane_hydrocarbon_degradation|hydrocarbon_degradation|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;Peter et al. (2003) - Genome Sequence Completed of Alcanivorax borkumensis a Hydrocarbon-degrading Bacterium That Plays a Global Role in Oil Removal from Marine Systems| DOI:10.1128/AEM.00694-13  and  Peter et al. (2003) - Genome Sequence Completed of Alcanivorax borkumensis a Hydrocarbon-degrading Bacterium That Plays a Global Role in Oil Removal from Marine Systems
Alcanivorax;Alcanivorax jadensis;;Alcanivorax jadensis ;oil_bioremediation|chemoheterotrophy;Munn (2011) - Marine Microbiology chapter 4
Algiphilus;Algiphilus aromaticivorans;;Algiphilus aromaticivorans ;aromatic_hydrocarbon_degradation|aliphatic_non_methane_hydrocarbon_degradation|aromatic_compound_degradation|hydrocarbon_degradation|hydrocarbon_degradation|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.033324-0| DOI:10.1099/ijs.0.033324-0
Algisphaera;Algisphaera agarilytica;;Algisphaera agarilytica ;aerobic_chemoheterotrophy|ureolysis|chemoheterotrophy;DOI:10.1007/s10482-013-0076-1| DOI:10.1007/s10482-013-0076-1
Alicycliphilus;Alicycliphilus denitrificans;;Alicycliphilus denitrificans ;nitrate_respiration|nitrate_reduction |nitrogen_respiration;Rosenberg DeLong Lory Stackebrandt Thompson (2014) - The Prokaryotes - Alphaproteobacteria and Betaproteobacteria
Alicyclobacillus;Alicyclobacillus disulfidooxidans;;Alicyclobacillus disulfidooxidans ;dark_sulfur_oxidation|aerobic_chemoheterotrophy|dark_iron_oxidation|dark_oxidation_of_sulfur_compounds|chemoheterotrophy;DOI:10.1099/00207713-46-4-1056  and  DOI:10.1099/ijs.0.63300-0| DOI:10.1099/00207713-46-4-1056  and  DOI:10.1099/ijs.0.63300-0| DOI:10.1146/annurev.micro.112408.134208
Alicyclobacillus;Alicyclobacillus herbarius;;Alicyclobacillus herbarius ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Alicyclobacillus;Alicyclobacillus sendaiensis;;Alicyclobacillus sendaiensis ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Alicyclobacillus;Alicyclobacillus tolerans;;Alicyclobacillus tolerans ;dark_sulfide_oxidation|dark_sulfur_oxidation|aerobic_chemoheterotrophy|dark_iron_oxidation|dark_iron_oxidation|dark_oxidation_of_sulfur_compounds|dark_oxidation_of_sulfur_compounds|chemoheterotrophy;DOI:10.1099/ijs.0.63300-0| DOI:10.1099/ijs.0.63300-0| DOI:10.1099/ijs.0.63300-0| DOI:10.1099/ijs.0.63300-0| DOI:10.1146/annurev.micro.112408.134208
Aliivibrio;Aliivibrio finisterrensis;;Aliivibrio finisterrensis ;fermentation|nitrate_reduction |chemoheterotrophy;DOI:10.1099/ijs.0.010710-0| DOI:10.1099/ijs.0.010710-0
Alistipes;Alistipes indistinctus;;Alistipes indistinctus ;fermentation|chemoheterotrophy;DOI:10.1099/ijs.0.014571-0
Alistipes;Alistipes onderdonkii;;Alistipes onderdonkii ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology vol. 4
Alistipes;Alistipes putredinis;;Alistipes putredinis ;human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts;DOI:10.1038/nature08821
Alistipes;Alistipes shahii;;Alistipes shahii ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology vol. 4
Alkalibacillus;Alkalibacillus salilacus;;Alkalibacillus salilacus ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Alkalibacillus;Alkalibacillus silvisoli;;Alkalibacillus silvisoli ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Alkalibacterium;Alkalibacterium gilvum;;Alkalibacterium gilvum ;fermentation|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.042556-0| DOI:10.1099/ijs.0.042556-0
Alkalibacterium;Alkalibacterium iburiense;;Alkalibacterium iburiense ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Alkalibacterium;Alkalibacterium indicireducens;;Alkalibacterium indicireducens ;cellulolysis|xylanolysis|xylanolysis|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Alkalibacterium;Alkalibacterium kapii;;Alkalibacterium kapii ;fermentation|chemoheterotrophy;DOI:10.1099/ijs.0.65602-0
Alkalibacterium;Alkalibacterium pelagium;;Alkalibacterium pelagium ;fermentation|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.65602-0| DOI:10.1099/ijs.0.65602-0
Alkalibacterium;Alkalibacterium psychrotolerans;;Alkalibacterium psychrotolerans ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Alkalibacterium;Alkalibacterium putridalgicola;;Alkalibacterium putridalgicola ;fermentation|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.65602-0| DOI:10.1099/ijs.0.65602-0
Alkalibacterium;Alkalibacterium thalassium;;Alkalibacterium thalassium ;fermentation|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.65602-0| DOI:10.1099/ijs.0.65602-0
Alkalibaculum;Alkalibaculum bacchi;;Alkalibaculum bacchi ;methanol_oxidation|dark_hydrogen_oxidation|reductive_acetogenesis|methylotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.018507-0| DOI:10.1099/ijs.0.018507-0| DOI:10.1099/ijs.0.018507-0
Alkaliflexus;Alkaliflexus imshenetskii;;Alkaliflexus imshenetskii ;xylanolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology vol. 4
Alkalimarinus;Alkalimarinus sediminis;;Alkalimarinus sediminis ;fermentation|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijsem.0.000446| DOI:10.1099/ijsem.0.000446
Alkaliphilus;Alkaliphilus peptidofermentans;;Alkaliphilus peptidofermentans ;thiosulfate_respiration|iron_respiration|fumarate_respiration|respiration_of_sulfur_compounds;Rosenberg DeLong Lory Stackebrandt Thompson (2014) - The Prokaryotes - Firmicutes and Tenericutes| Rosenberg DeLong Lory Stackebrandt Thompson (2014) - The Prokaryotes - Firmicutes and Tenericutes| Rosenberg DeLong Lory Stackebrandt Thompson (2014) - The Prokaryotes - Firmicutes and Tenericutes
