ijsem_genus;ijsem_species;ijsem_strain;ijsem_speciesStrain;ijsem_source;ijsem_gram;ijsem_oxygen;ijsem_assays;ijsem_substrate;ijsem_ref
Adhaeribacter;Adhaeribacter aerolatus;6515J-31;Adhaeribacter aerolatus 6515J-31;other;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;arabinose|cellobiose|fructose|galactose|glucose|lactate|lactose|maltose|mannose|melibiose|N-acetylgulcosamine|raffinose|rhamnose|ribose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.018374-0
Adhaeribacter;Adhaeribacter aerophilus;6424S-25;Adhaeribacter aerophilus 6424S-25;other;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;arabinose|cellobiose|galactose|glucose|glycogen|lactose|maltose|mannose|melibiose|N-acetylgulcosamine|raffinose|rhamnose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.018374-0
Adhaeribacter;Adhaeribacter aquaticus;MBRG1.5T;Adhaeribacter aquaticus MBRG1.5T;freshwater (river| lake| pond);negative;aerobic;catalasePositive|oxidasePositive;adonitol|alanine|arabinose|fructose|gluconicAcid|glucose|glycine|histidine|leucine|N-acetylgulcosamine|ornithine|proline|pyruvate|ribose|sucrose|trehalose;10.1099/ijs.0.63337-0
Adhaeribacter;Adhaeribacter terreus;DNG6T;Adhaeribacter terreus DNG6T;soil;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|alphaGalactosidase|oxidasePositive|ureasePositive;arabinose|arginine|glutamicAcid|glycine|phenylalanine|proline|trehalose;10.1099/ijs.0.004796-0
Adlercreutzia;Adlercreutzia equolifaciens;FJC-B9;Adlercreutzia equolifaciens FJC-B9;human - fecal;positive;anaerobic;;arginine;10.1099/ijs.0.65404-0
Advenella;Advenella faeciporci;M-07;Advenella faeciporci M-07;bioreactor;negative;;catalasePositive|oxidasePositive;acetate|adipate|alanine|alpha-ketovalericAcid|citrate|glutamicAcid|lactate|leucine|malate|ornithine|phenylacetate|proline|pyruvicAcidMethylEster|threonine;10.1099/ijs.0.037440-0
Advenella;Advenella incenata;LMG 22250T;Advenella incenata LMG 22250T;other;negative;aerobic;alkalinePhosphatase|catalasePositive|oxidasePositive;citrate|malate;10.1099/ijs.0.63267-0
Aequorivita;Aequorivita capsosiphonis;A71T;Aequorivita capsosiphonis A71T;plant associated;negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive;adonitol|asparagine|aspartate|citrate|fucose|galactonicAcid|gelatin|glycogen|inosine|lactose|raffinose|sorbitol|sucrose|threonine|uridine;10.1099/ijs.0.004119-0
Aequorivita;Aequorivita viscosa;8-1b;Aequorivita viscosa 8-1b;plant associated;negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|gelatinase|H2Sproduction|ureasePositive;asparagine|aspartate|glycogen|lactate|mannose;10.1099/ijs.0.049635-0
Aeriscardovia;Aeriscardovia aeriphila;T6T;Aeriscardovia aeriphila T6T;other;positive;facultative;;arabinose|maltose|mannose|raffinose|salicin|sucrose|xylose;10.1099/ijs.0.02667-0
Aerococcus;Aerococcus suis;1821/02T;Aerococcus suis 1821/02T;other;positive;facultative;catalasePositive;ribose;I 10.1099/ijs.0.64537-0|10.1099/ijs.0.64537-0
Aeromicrobium;Aeromicrobium alkaliterrae;KSL-107T;Aeromicrobium alkaliterrae KSL-107T;soil;positive;aerobic;H2Sproduction|indoleProduction;arginine|cellobiose|galactose|malate|Tween20|Tween40|Tween60|Tween80;10.1099/ijs.0.63582-0
Aeromicrobium;Aeromicrobium flavum;TYLN1;Aeromicrobium flavum TYLN1;other;positive;facultative;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite|oxidasePositive|ureasePositive;acetate|fructose|glucose|glycerol|maltose|pyruvate|ribose|sucrose|trehalose;10.1099/ijs.0.65443-0
Aeromicrobium;Aeromicrobium ginsengisoli;Gsoil 098;Aeromicrobium ginsengisoli Gsoil 098;soil;positive;aerobic;nitrateReductionToNitrite|oxidasePositive;3-hydroxybutyrate|acetate|alanine|arabinose|asparagine|cellobiose|ethanol|fructose|fucose|galactose|gluconicAcid|glucose|glutamicAcid|glycerol|lactose|leucine|malate|maltose|mannose|N-acetylgulcosamine|phenylalanine|proline|pyruvate|rhamnose|serine|sucrose|trehalose|tryptophan|valerate|xylose;10.1099/ijs.0.64871-0
Aeromicrobium;Aeromicrobium halocynthiae;KME 001;Aeromicrobium halocynthiae KME 001;marine sediment;positive;aerobic;catalasePositive;acetate|arabinose|fructose|glucose|glycerol|mannose|ribose|trehalose|xylose;10.1099/ijs.0.016618-0
Aeromicrobium;Aeromicrobium panaciterrae;Gsoil 161T;Aeromicrobium panaciterrae Gsoil 161T;soil;positive;aerobic;;acetate|alanine|cellobiose|glucose|maltose|mannose|salicin|sucrose;10.1099/ijs.0.64697-0
Aeromicrobium;Aeromicrobium ponti;HSW-1;Aeromicrobium ponti HSW-1;seawater;positive;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|gelatinase;arabinose|cellobiose|citrate|galactose|glucose|maltose|salicin|xylose;10.1099/ijs.0.65575-0
Aeromicrobium;Aeromicrobium tamlense;SSW1-57T;Aeromicrobium tamlense SSW1-57T;other;positive;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|gelatinase;acetate|cellobiose|fructose|galactose|gelatin|glucose|glycerol|lactose|malate|maltose|mannose|ribose|sucrose|trehalose;10.1099/ijs.0.64442-0
Aeromonas;Aeromonas aquariorum;MDC47;Aeromonas aquariorum MDC47;other;negative;facultative;catalasePositive|gelatinase|H2Sproduction|nitrateReductionToNitrite|oxidasePositive;lactate;10.1099/ijs.0.65352-0
Aeromonas;Aeromonas australiensis;266;Aeromonas australiensis 266;freshwater (river| lake| pond);negative;facultative;catalasePositive|gelatinase|indoleProduction|nitrateReductionToNitrite|oxidasePositive;acetate|citrate|lactate|urocanicAcid;10.1099/ijs.0.040162-0
Aeromonas;Aeromonas bivalvium;868ET;Aeromonas bivalvium 868ET;other;negative;facultative;aesculinHydrolysis|catalasePositive|gelatinase|indoleProduction|nitrateReductionToNitrite|oxidasePositive;acetate|arabinose|arginine|cellobiose|citrate|dextrin|fructose|galactose|glucose|glycerol|histidine|lactate|maltose|mannitol|N-acetylgulcosamine|salicin|sucrose|trehalose;10.1099/ijs.0.64497-0
Aeromonas;Aeromonas fluvialis;717;Aeromonas fluvialis 717;freshwater (river| lake| pond);negative;facultative;catalasePositive|oxidasePositive|catalasePositive|nitrateReductionToNitrite|oxidasePositive;gluconicAcid|glucose|malate|maltose|mannose|glucose|malate|maltose|mannose|N-acetylgulcosamine;10.1099/ijs.0.011643-0
Aeromonas;Aeromonas molluscorum;848TT;Aeromonas molluscorum 848TT;other;negative;facultative;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite|oxidasePositive;acetate|arabinose|arginine|cellobiose|citrate|dextrin|fructose|galactose|glucose|glycerol|histidine|lactate|maltose|mannitol|mannose|N-acetylgulcosamine|salicin|sucrose|trehalose;10.1099/ijs.0.63202-0
Aeromonas;Aeromonas rivuli;;Aeromonas rivuli;freshwater (river| lake| pond);negative;;aesculinHydrolysis|catalasePositive|gelatinase|nitrateReductionToNitrite|oxidasePositive;fructose|galactose|glucose|glycerol|glycogen|histidine|maltose|mannitol|mannose|N-acetylgulcosamine|proline|ribose|salicin|sucrose|trehalose|Tween80;10.1099/ijs.0.016139-0
Aeromonas;Aeromonas rivuli;WB4.1-19;Aeromonas rivuli WB4.1-19;freshwater (river| lake| pond);negative;aerobic;aesculinHydrolysis|catalasePositive|gelatinase|nitrateReductionToNitrite|oxidasePositive;galactose|glycerol|glycogen|histidine|maltose|mannitol|proline|salicin|sucrose;10.1099/ijs.0.016139-0
Aeromonas;Aeromonas rivuli;WB4.1-19T;Aeromonas rivuli WB4.1-19T;estuarine sediment;negative;aerobic;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite|oxidasePositive;cellobiose|citrate|fructose|galactose|glucose|glycerol|glycogen|histidine|maltose|mannitol|mannose|N-acetylgulcosamine|proline|ribose|salicin|sucrose|trehalose|Tween80;10.1099/ijs.0.016139-0
Aeromonas;Aeromonas sanarellii;A2-67;Aeromonas sanarellii A2-67;other;negative;aerobic;aesculinHydrolysis|catalasePositive|indoleProduction|nitrateReductionToNitrite|oxidasePositive;arabinose|caprate|glucose|malate|maltose|mannitol|mannose;10.1099/ijs.0.014621-0
Aeromonas;Aeromonas sharmana;GPTSA-6;Aeromonas sharmana GPTSA-6;other;negative;facultative;aesculinHydrolysis|catalasePositive|oxidasePositive;arabinose|cellobiose|fructose|galactose|glucose|lactose|maltose|mannose|sucrose|xylose;10.1099/ijs.0.63972-0
Aeromonas;Aeromonas simiae;IBSS6874T;Aeromonas simiae IBSS6874T;other;negative;facultative;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite|oxidasePositive;cellobiose|fructose|galactose|glucose|glycerol|glycogen|maltose|mannose|N-acetylgulcosamine|ribose|sucrose|trehalose;10.1099/ijs.0.02786-0
Aeromonas;Aeromonas taiwanensis;A2-50;Aeromonas taiwanensis A2-50;other;negative;aerobic;aesculinHydrolysis|catalasePositive|indoleProduction|nitrateReductionToNitrite|oxidasePositive;arabinose|caprate|glucose|glycogen|malate|mannitol|mannose;10.1099/ijs.0.014621-0
Aestuariibacter;Aestuariibacter halophilus;JC2043T;Aestuariibacter halophilus JC2043T;marine sediment;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|gelatinase|nitrateReductionToNitrite|oxidasePositive;acetate|arginine|gelatin|glucose|leucine|N-acetylgulcosamine|ribose|sucrose|Tween80;10.1099/ijs.0.02798-0
Aestuariibacter;Aestuariibacter litoralis;KMM 3894;Aestuariibacter litoralis KMM 3894;other|marine sediment;negative;aerobic;catalasePositive|oxidasePositive|aesculinHydrolysis|gelatinase|nitrateReductionToNitrite;fructose|glucose;10.1099/ijs.0.012435-0
Aestuariibacter;Aestuariibacter salexigens;JC2042T;Aestuariibacter salexigens JC2042T;marine sediment;negative;aerobic;aesculinHydrolysis|alkalinePhosphatase|catalasePositive|gelatinase|nitrateReductionToNitrite|oxidasePositive;acetate|arginine|ethanol|galactose|gelatin|glycine|leucine|N-acetylgulcosamine|ornithine|ribose|sorbitol|Tween80;10.1099/ijs.0.02798-0
Aestuariibaculum;Aestuariibaculum suncheonense;SC17;Aestuariibaculum suncheonense SC17;marine sediment;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|alphaGalactosidase|catalasePositive|gelatinase|indoleProduction|nitrateReductionToNitrite|oxidasePositive|ureasePositive;acetate|alanine|alpha-cyclodextrin|arabinose|asparagine|aspartate|dextrin|fructose|galactose|glucose|glutamicAcid|histidine|hyroxl-proline|lactate|lactose|maltose|mannose|melibiose|N-acetylgulcosamine|ornithine|phenylalanine|proline|raffinose|serine|sucrose|threonine|Tween20|uridine|urocanicAcid;10.1099/ijs.0.037846-0
Aestuariicola;Aestuariicola saemankumensis;SMK-142;Aestuariicola saemankumensis SMK-142;other;negative;aerobic;catalasePositive|oxidasePositive;;10.1099/ijs.0.65717-0
Aestuariimicrobium;Aestuariimicrobium kwangyangense;R27T;Aestuariimicrobium kwangyangense R27T;marine sediment;positive;aerobic;acidPhosphatase|aesculinHydrolysis|alphaGalactosidase|catalasePositive|nitrateReductionToNitrite;cellobiose|fructose|galactose|glucose|lactose|maltose|mannose|melibiose|raffinose|rhamnose|salicin|sorbitol|sucrose|trehalose|Tween20|Tween40|Tween60|Tween80|xylose;10.1099/ijs.0.64917-0
Agaricicola;Agaricicola taiwanensis;CC-SBABM117;Agaricicola taiwanensis CC-SBABM117;other;negative;aerobic;oxidasePositive;acetate|arabinose|galactose|galcturonicAcid|glucose|proline|pyruvicAcidMethylEster;10.1099/ijs.0.016485-0
Agarivorans;Agarivorans albus;MKT106T;Agarivorans albus MKT106T;seawater;negative;aerobic;aesculinHydrolysis;glucose|maltose|mannitol|xylose;10.1099/ijs.0.02778-0
Agarivorans;Agarivorans gilvus;Agarivorans gilvus;Agarivorans gilvus Agarivorans gilvus;plant associated;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;arabinose|cellobiose|fructose|galactose|glucose|glycogen|lactose|maltose|mannitol|mannose|N-acetylgulcosamine|salicin|sucrose|xylose;10.1099/ijs.0.019810-0
Agarivorans;Agarivorans gilvus;WH0801T;Agarivorans gilvus WH0801T;plant associated;negative;aerobic;aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;arabinose|galactose|glycogen|lactose|mannose|salicin|xylose;10.1099/ijs.0.019810-0
Agrococcus;Agrococcus casei;R-17892t2T;Agrococcus casei R-17892t2T;food product;positive;aerobic;catalasePositive;glucose|mannose|Tween80;10.1099/ijs.0.64270-0
Agrococcus;Agrococcus jejuensis;SSW1-48;Agrococcus jejuensis SSW1-48;other;positive;aerobic;catalasePositive;glucose|malate|maltose|mannitol|mannose|N-acetylgulcosamine;10.1099/ijs.0.65731-0
Agrococcus;Agrococcus lahaulensis;K22-21;Agrococcus lahaulensis K22-21;soil;positive;aerobic;catalasePositive;dextrin|fructose|glycerol|rhamnose|trehalose;10.1099/ijs.0.64247-0
Agrococcus;Agrococcus terreus;DNG5;Agrococcus terreus DNG5;soil;positive;aerobic;aesculinHydrolysis|catalasePositive|acidPhosphatase|aesculinHydrolysis|catalasePositive|gelatinase;arabinose|gluconicAcid|malate|mannitol|mannose;10.1099/ijs.0.013235-0
Agrococcus;Agrococcus versicolor;K 114/01;Agrococcus versicolor K 114/01;other;positive;aerobic;catalasePositive;arabinose|dextrin|fructose|gluconicAcid|glucose|glycerol|mannose|N-acetylgulcosamine|sucrose|trehalose|xylose;10.1099/ijs.0.2008/001610-0
Agromonas;Agromonas oligotrophica;LMG 10732;Agromonas oligotrophica LMG 10732;soil;negative;aerobic;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite|oxidasePositive|ureasePositive;3-hydroxybenzoate|3-hydroxybutyrate|acetate|adipate|arabinose|citrate|fucose|galactose|gluconicAcid|glucose|lactate|malate|mannitol|mannose|pyruvate|rhamnose|ribose|subericAcid|valerate|xylose;10.1099/ijs.0.041897-0
Agromyces;Agromyces allii;UMS-62T;Agromyces allii UMS-62T;plant associated;positive;aerobic;acidPhosphatase|aesculinHydrolysis|catalasePositive|gelatinase|nitrateReductionToNitrite|oxidasePositive;arabinose|cellobiose|fructose|galactose|glucose|lactose|malate|maltose|mannose|melibiose|rhamnose|ribose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.64733-0
Agromyces;Agromyces atrinae;P27;Agromyces atrinae P27;other;positive;aerobic;catalasePositive|nitrateReductionToNitrite|acidPhosphatase|alphaGalactosidase|catalasePositive|nitrateReductionToNitrite;acetate|cellobiose|dextrin|fructose|galactose|gluconicAcid|glucose|glycerol|glycogen|lactose|maltose|mannitol|mannose|pyruvate|ribose|salicin|sucrose|trehalose|xylose|acetate|cellobiose|dextrin|fructose|galactose|gluconicAcid|glucose|glycerol|glycogen|inosine|lactose|maltose|mannitol|mannose|pyruvate|pyruvicAcidMethylEster|ribose|salicin|sucrose|thymidine|trehalose|Tween40|Tween80|uridine|xylose;10.1099/ijs.0.012294-0
Agromyces;Agromyces bauzanensis;BZ41;Agromyces bauzanensis BZ41;soil;positive;aerobic;aesculinHydrolysis|catalasePositive;cellobiose|galactose|glucose|glycerol|glycogen|maltose|mannose|rhamnose|salicin;10.1099/ijs.0.017186-0
Agromyces;Agromyces humatus;CD5T;Agromyces humatus CD5T;other;positive;aerobic;catalasePositive|nitrateReductionToNitrite;arabinose|galactose|gelatin|glucose|glycerol|malate|mannitol|raffinose|rhamnose|sucrose;10.1099/ijs.0.63414-0
Agromyces;Agromyces italicus;CD1T;Agromyces italicus CD1T;other;positive;aerobic;catalasePositive|nitrateReductionToNitrite|oxidasePositive;arabinose|cellobiose|fucose|galactose|gelatin|glucose|glycerol|lactose|salicin|xylose;10.1099/ijs.0.63414-0
Agromyces;Agromyces lapidis;CD55T;Agromyces lapidis CD55T;other;positive;aerobic;catalasePositive|nitrateReductionToNitrite;arabinose|cellobiose|fucose|galactose|glucose|glycerol|N-acetylgulcosamine|raffinose|salicin|sucrose;10.1099/ijs.0.63414-0
Agromyces;Agromyces neolithicus; 23-23T;Agromyces neolithicus 23-23T;soil;positive;aerobic;aesculinHydrolysis|alkalinePhosphatase|catalasePositive|H2Sproduction|nitrateReductionToNitrite|oxidasePositive;arabinose|cellobiose|fructose|fucose|galactose|glucose|glycerol|glycogen|maltose|mannitol|mannose|melibiose|N-acetylgulcosamine|raffinose|sucrose;10.1099/ijs.0.63199-0
Agromyces;Agromyces salentinus;20-5T;Agromyces salentinus 20-5T;soil;positive;aerobic;aesculinHydrolysis|catalasePositive|H2Sproduction|oxidasePositive|ureasePositive;acetate|arabinose|cellobiose|fructose|fucose|galactose|glucose|glycerol|glycogen|maltose|raffinose|rhamnose|ribose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.63199-0
Agromyces;Agromyces subbeticus;Z33T;Agromyces subbeticus Z33T;other;positive;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|H2Sproduction;acetate|alanine|fructose|glycine|glycogen|leucine|rhamnose;10.1099/ijs.0.63637-0
Agromyces;Agromyces terreus;DS-10;Agromyces terreus DS-10;soil;positive;aerobic;gelatinase|oxidasePositive;arabinose|cellobiose|fructose|fucose|galactose|glucose|glycerol|glycogen|maltose|mannose|N-acetylgulcosamine|phenylacetate|raffinose|rhamnose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.65072-0
Agromyces;Agromyces tropicus;CM9-9T;Agromyces tropicus CM9-9T;soil;positive;aerobic;gelatinase;arabinose|galactose|lactose|mannitol|melibiose|raffinose|ribose|sucrose|xylose;10.1099/ijs.0.021774-0
Agromyces;Agromyces ulmi;XJLO1T;Agromyces ulmi XJLO1T;plant associated;positive;aerobic;aesculinHydrolysis|gelatinase;arabinose|cellobiose|galactose|glucose|glycerol|lactose|maltose|mannose|melibiose|N-acetylgulcosamine|raffinose|rhamnose|ribose|salicin|sucrose|xylose;10.1099/ijs0.63058-0
Aidingimonas;Aidingimonas halophila;YIM 90637T;Aidingimonas halophila YIM 90637T;hypersaline environment;negative;facultative;acidPhosphatase|alkalinePhosphatase|catalasePositive|ureasePositive;acetate|adonitol|alanine|alpha-cyclodextrin|arabinose|arabitol|asparagine|aspartate|cellobiose|citrate|dextrin|formicAcid|fructose|fucose|galactonicAcid|galactose|galcturonicAcid|glucose|glutamicAcid|glycerol|glycogen|histidine|hyroxl-proline|lactate|lactose|maltose|mannitol|mannose|melibiose|methylBeta-D-glucoside|methylPyruvate|myo-inositol|N-acetylgulcosamine|ornithine|proline|raffinose|rhamnose|ribose|serine|sorbitol|sucrose|threonine|trehalose|Tween20|Tween40|Tween80|uridine|urocanicAcid|xylitol|xylose;10.1099/ijs.0.010264-0
Albidovulum;Albidovulum xiamenense;YBY-7;Albidovulum xiamenense YBY-7;hotspring;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|alphaGalactosidase|catalasePositive|nitrateReductionToNitrite|oxidasePositive|ureasePositive;acetate|alpha-cyclodextrin|arabitol|cellobiose|fructose|glucose|glycerol|glycogen|lactate|maltose|mannitol|mannose|sucrose|thymidine|trehalose|Tween40|Tween80|xylitol;10.1099/ijs.0.034454-0
Albimonas;Albimonas donghaensis;DS2;Albimonas donghaensis DS2;seawater;negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|gelatinase|oxidasePositive|ureasePositive;arabinose|xylose;10.1099/ijs.0.65429-0
Albimonas;Albimonas pacifica;P-50-3;Albimonas pacifica P-50-3;seawater;negative;aerobic;acidPhosphatase|alkalinePhosphatase|nitrateReductionToNitrite;;10.1099/ijs.0.049742-0
Alcaligenes;Alcaligenes aquatilis;LMG 22996T;Alcaligenes aquatilis LMG 22996T;estuarine sediment;negative;anaerobic;catalasePositive|oxidasePositive;;10.1099/ijs.0.63849-0
Alcanivorax;Alcanivorax balearicus;MACL04T;Alcanivorax balearicus MACL04T;freshwater (river| lake| pond);negative;aerobic;catalasePositive|oxidasePositive;acetate|arabinose|citrate|glucose|malate|mannitol|phenylacetate|pyruvate;10.1099/ijs.0.64912-0
Alcanivorax;Alcanivorax dieselolei;B-5T;Alcanivorax dieselolei B-5T;freshwater sediment (river| lake| pond);negative;aerobic;catalasePositive|nitrateReductionToNitrite|oxidasePositive;3-hydroxybutyrate|acetate|citrate|lactate|methylPyruvate|pyruvate|Tween40|Tween80;10.1099/ijs.0.63443-0
Alcanivorax;Alcanivorax hongdengensis;A-11-3T;Alcanivorax hongdengensis A-11-3T;seawater;negative;aerobic;gelatinase|nitrateReductionToNitrite;3-hydroxybutyrate|acetate|pyruvicAcidMethylEster|Tween40|Tween80;10.1099/ijs.0.001552-0
Alcanivorax;Alcanivorax marinus;R8-12;Alcanivorax marinus R8-12;seawater;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;acetate|formicAcid|glycine|lactate|methylPyruvate|Tween40|Tween80;10.1099/ijs.0.049957-0
Algibacter;Algibacter agarilyticus;KYW563;Algibacter agarilyticus KYW563;seawater;negative;aerobic;aesculinHydrolysis|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|oxidasePositive;;10.1099/ijs.0.051300-0
