microbedir_genus;microbedir_species;microbedir_strain;microbedir_speciesStrain;microbedir_gram;microbedir_source;microbedir_abSusceptible;microbedir_extremophile;microbedir_pathogenicity
Mucilaginibacter;Mucilaginibacter paludis;;Mucilaginibacter paludis;negative;;no;no;
Mucispirillum;Mucispirillum schaedleri;;Mucispirillum schaedleri;;;no;;
Mulberry;Mulberry small ;circular viroid like RNA 1;Mulberry small circular viroid like RNA 1;;;;no;plant
Muricauda;Muricauda ruestringensis;;Muricauda ruestringensis;negative;;no;no;
Myceliophthora;Myceliophthora thermophila;;Myceliophthora thermophila;;;no;yes;
Mycobacteriophage;Mycobacteriophage Daenerys;;Mycobacteriophage Daenerys;;;;no;
Mycobacteriophage;Mycobacteriophage Velveteen;;Mycobacteriophage Velveteen;;;;no;
Mycobacterium;Mycobacterium abscessus;;Mycobacterium abscessus;;;yes;no;
Mycobacterium;Mycobacterium avium;;Mycobacterium avium;;;yes;no;animal
Mycobacterium;Mycobacterium chubuense;;Mycobacterium chubuense;;;yes;no;
Mycobacterium;Mycobacterium colombiense;;Mycobacterium colombiense;;;yes;no;
Mycobacterium;Mycobacterium fortuitum;;Mycobacterium fortuitum;;;yes;no;
Mycobacterium;Mycobacterium gilvum;;Mycobacterium gilvum;;;yes;no;
Mycobacterium;Mycobacterium hassiacum;;Mycobacterium hassiacum;;;yes;yes;
Mycobacterium;Mycobacterium indicus;pranii;Mycobacterium indicus pranii;;;;no;
Mycobacterium;Mycobacterium intracellulare;;Mycobacterium intracellulare;;;yes;no;animal
Mycobacterium;Mycobacterium kansasii;;Mycobacterium kansasii;;;yes;no;animal
Mycobacterium;Mycobacterium leprae;;Mycobacterium leprae;;;yes;no;animal
Mycobacterium;Mycobacterium liflandii;;Mycobacterium liflandii;;;yes;no;animal
Mycobacterium;Mycobacterium mageritense;;Mycobacterium mageritense;;;yes;no;
Mycobacterium;Mycobacterium marinum;;Mycobacterium marinum;;;yes;no;animal
Mycobacterium;Mycobacterium orygis;;Mycobacterium orygis;;;yes;no;animal
Mycobacterium;Mycobacterium parascrofulaceum;;Mycobacterium parascrofulaceum;;;yes;yes;
Mycobacterium;Mycobacterium phage ;244;Mycobacterium phage 244;;;;no;
Mycobacterium;Mycobacterium phage ;Adawi;Mycobacterium phage Adawi;;;;no;
Mycobacterium;Mycobacterium phage ;Adjutor;Mycobacterium phage Adjutor;;;;no;
Mycobacterium;Mycobacterium phage ;Adzzy;Mycobacterium phage Adzzy;;;;no;
Mycobacterium;Mycobacterium phage ;Angel;Mycobacterium phage Angel;;;;no;
Mycobacterium;Mycobacterium phage ;Angelica;Mycobacterium phage Angelica;;;;no;
Mycobacterium;Mycobacterium phage ;AnnaL29;Mycobacterium phage AnnaL29;;;;no;
Mycobacterium;Mycobacterium phage ;ArcherS7;Mycobacterium phage ArcherS7;;;;no;
Mycobacterium;Mycobacterium phage ;Ardmore;Mycobacterium phage Ardmore;;;;no;
Mycobacterium;Mycobacterium phage ;Astraea;Mycobacterium phage Astraea;;;;no;
Mycobacterium;Mycobacterium phage ;Bane1;Mycobacterium phage Bane1;;;;no;
Mycobacterium;Mycobacterium phage ;Bane2;Mycobacterium phage Bane2;;;;no;
Mycobacterium;Mycobacterium phage ;Barnyard;Mycobacterium phage Barnyard;;;;no;
Mycobacterium;Mycobacterium phage ;Bethlehem;Mycobacterium phage Bethlehem;;;;no;
Mycobacterium;Mycobacterium phage ;Bobi;Mycobacterium phage Bobi;;;;no;
Mycobacterium;Mycobacterium phage ;Boomer;Mycobacterium phage Boomer;;;;no;
Mycobacterium;Mycobacterium phage ;BPs;Mycobacterium phage BPs;;;;no;
Mycobacterium;Mycobacterium phage ;Breezona;Mycobacterium phage Breezona;;;;no;
Mycobacterium;Mycobacterium phage ;Brujita;Mycobacterium phage Brujita;;;;no;
Mycobacterium;Mycobacterium phage ;BTCU 1;Mycobacterium phage BTCU 1;;;;no;
Mycobacterium;Mycobacterium phage ;Butters;Mycobacterium phage Butters;;;;no;
Mycobacterium;Mycobacterium phage ;Butterscotch;Mycobacterium phage Butterscotch;;;;no;
Mycobacterium;Mycobacterium phage ;Bxb1;Mycobacterium phage Bxb1;;;;no;
Mycobacterium;Mycobacterium phage ;Bxz1;Mycobacterium phage Bxz1;;;;no;
Mycobacterium;Mycobacterium phage ;Bxz2;Mycobacterium phage Bxz2;;;;no;
Mycobacterium;Mycobacterium phage ;Cali;Mycobacterium phage Cali;;;;no;
Mycobacterium;Mycobacterium phage ;CASbig;Mycobacterium phage CASbig;;;;no;
Mycobacterium;Mycobacterium phage ;Catdawg;Mycobacterium phage Catdawg;;;;no;
Mycobacterium;Mycobacterium phage ;Catera;Mycobacterium phage Catera;;;;no;
Mycobacterium;Mycobacterium phage ;Chah;Mycobacterium phage Chah;;;;no;
Mycobacterium;Mycobacterium phage ;Che12;Mycobacterium phage Che12;;;;no;
Mycobacterium;Mycobacterium phage ;Che8;Mycobacterium phage Che8;;;;no;
Mycobacterium;Mycobacterium phage ;Che9c;Mycobacterium phage Che9c;;;;no;
Mycobacterium;Mycobacterium phage ;Che9d;Mycobacterium phage Che9d;;;;no;
Mycobacterium;Mycobacterium phage ;Chy4;Mycobacterium phage Chy4;;;;no;
Mycobacterium;Mycobacterium phage ;Chy5;Mycobacterium phage Chy5;;;;no;
Mycobacterium;Mycobacterium phage ;Cjw1;Mycobacterium phage Cjw1;;;;no;
Mycobacterium;Mycobacterium phage ;Contagion;Mycobacterium phage Contagion;;;;no;
Mycobacterium;Mycobacterium phage ;Cooper;Mycobacterium phage Cooper;;;;no;
Mycobacterium;Mycobacterium phage ;Corndog;Mycobacterium phage Corndog;;;;no;
Mycobacterium;Mycobacterium phage ;CrimD;Mycobacterium phage CrimD;;;;no;
Mycobacterium;Mycobacterium phage ;Crossroads;Mycobacterium phage Crossroads;;;;no;
Mycobacterium;Mycobacterium phage ;D29;Mycobacterium phage D29;;;;no;
Mycobacterium;Mycobacterium phage ;DD5;Mycobacterium phage DD5;;;;no;
Mycobacterium;Mycobacterium phage ;DNAIII;Mycobacterium phage DNAIII;;humanMicrobiome;;no;
Mycobacterium;Mycobacterium phage ;DrDrey;Mycobacterium phage DrDrey;;;;no;
Mycobacterium;Mycobacterium phage ;Dumbo;Mycobacterium phage Dumbo;;;;no;
Mycobacterium;Mycobacterium phage ;Dylan;Mycobacterium phage Dylan;;;;no;
Mycobacterium;Mycobacterium phage ;ET08;Mycobacterium phage ET08;;;;no;
Mycobacterium;Mycobacterium phage ;Faith1;Mycobacterium phage Faith1;;;;no;
Mycobacterium;Mycobacterium phage ;First;Mycobacterium phage First;;;;no;
Mycobacterium;Mycobacterium phage ;Fishburne;Mycobacterium phage Fishburne;;;;no;
Mycobacterium;Mycobacterium phage ;Fredward;Mycobacterium phage Fredward;;;;no;
Mycobacterium;Mycobacterium phage ;Fruitloop;Mycobacterium phage Fruitloop;;;;no;
Mycobacterium;Mycobacterium phage ;Giles;Mycobacterium phage Giles;;;;no;
Mycobacterium;Mycobacterium phage ;Gizmo;Mycobacterium phage Gizmo;;;;no;
Mycobacterium;Mycobacterium phage ;Goku;Mycobacterium phage Goku;;;;no;
Mycobacterium;Mycobacterium phage ;Gumball;Mycobacterium phage Gumball;;;;no;
Mycobacterium;Mycobacterium phage ;Halo;Mycobacterium phage Halo;;;;no;
Mycobacterium;Mycobacterium phage ;Hamulus;Mycobacterium phage Hamulus;;;;no;
Mycobacterium;Mycobacterium phage ;HINdeR;Mycobacterium phage HINdeR;;;;no;
Mycobacterium;Mycobacterium phage ;Jabbawokkie;Mycobacterium phage Jabbawokkie;;;;no;
Mycobacterium;Mycobacterium phage ;Job42;Mycobacterium phage Job42;;;;no;
Mycobacterium;Mycobacterium phage ;Jobu08;Mycobacterium phage Jobu08;;;;no;
Mycobacterium;Mycobacterium phage ;KayaCho;Mycobacterium phage KayaCho;;;;no;
Mycobacterium;Mycobacterium phage ;Konstantine;Mycobacterium phage Konstantine;;;;no;
Mycobacterium;Mycobacterium phage ;Kostya;Mycobacterium phage Kostya;;;;no;
Mycobacterium;Mycobacterium phage ;L5;Mycobacterium phage L5;;;;no;
Mycobacterium;Mycobacterium phage ;LeBron;Mycobacterium phage LeBron;;;;no;
Mycobacterium;Mycobacterium phage ;Leo;Mycobacterium phage Leo;;;;no;
Mycobacterium;Mycobacterium phage ;LittleCherry;Mycobacterium phage LittleCherry;;;;no;
Mycobacterium;Mycobacterium phage ;Llij;Mycobacterium phage Llij;;;;no;
Mycobacterium;Mycobacterium phage ;Lockley;Mycobacterium phage Lockley;;;;no;
Mycobacterium;Mycobacterium phage ;Muddy;Mycobacterium phage Muddy;;;;no;
Mycobacterium;Mycobacterium phage ;Murphy;Mycobacterium phage Murphy;;;;no;
Mycobacterium;Mycobacterium phage ;Myrna;Mycobacterium phage Myrna;;;;no;
Mycobacterium;Mycobacterium phage ;Newman;Mycobacterium phage Newman;;;;no;
Mycobacterium;Mycobacterium phage ;Nigel;Mycobacterium phage Nigel;;;;no;
Mycobacterium;Mycobacterium phage ;Omega;Mycobacterium phage Omega;;;;no;
Mycobacterium;Mycobacterium phage ;Orion;Mycobacterium phage Orion;;;;no;
Mycobacterium;Mycobacterium phage ;Pacc40;Mycobacterium phage Pacc40;;;;no;
Mycobacterium;Mycobacterium phage ;Papyrus;Mycobacterium phage Papyrus;;;;no;
Mycobacterium;Mycobacterium phage ;PattyP;Mycobacterium phage PattyP;;;;no;
Mycobacterium;Mycobacterium phage ;PBI1;Mycobacterium phage PBI1;;;;no;
Mycobacterium;Mycobacterium phage ;Peaches;Mycobacterium phage Peaches;;;;no;
Mycobacterium;Mycobacterium phage ;PegLeg;Mycobacterium phage PegLeg;;;;no;
Mycobacterium;Mycobacterium phage ;PG1;Mycobacterium phage PG1;;;;no;
Mycobacterium;Mycobacterium phage ;Phaedrus;Mycobacterium phage Phaedrus;;;;no;
Mycobacterium;Mycobacterium phage ;Phaux;Mycobacterium phage Phaux;;;;no;
Mycobacterium;Mycobacterium phage ;Phelemich;Mycobacterium phage Phelemich;;;;no;
Mycobacterium;Mycobacterium phage ;Phlyer;Mycobacterium phage Phlyer;;;;no;
Mycobacterium;Mycobacterium phage ;PhrostyMug;Mycobacterium phage PhrostyMug;;;;no;
Mycobacterium;Mycobacterium phage ;Phrux;Mycobacterium phage Phrux;;;;no;
Mycobacterium;Mycobacterium phage ;Pipefish;Mycobacterium phage Pipefish;;;;no;
Mycobacterium;Mycobacterium phage ;PLot;Mycobacterium phage PLot;;;;no;
Mycobacterium;Mycobacterium phage ;PMC;Mycobacterium phage PMC;;;;no;
Mycobacterium;Mycobacterium phage ;Porky;Mycobacterium phage Porky;;;;no;
Mycobacterium;Mycobacterium phage ;Predator;Mycobacterium phage Predator;;;;no;
Mycobacterium;Mycobacterium phage ;Pukovnik;Mycobacterium phage Pukovnik;;;;no;
Mycobacterium;Mycobacterium phage ;Quink;Mycobacterium phage Quink;;;;no;
Mycobacterium;Mycobacterium phage ;Qyrzula;Mycobacterium phage Qyrzula;;;;no;
Mycobacterium;Mycobacterium phage ;Ramsey;Mycobacterium phage Ramsey;;;;no;
Mycobacterium;Mycobacterium phage ;Redno2;Mycobacterium phage Redno2;;;;no;
Mycobacterium;Mycobacterium phage ;Reprobate;Mycobacterium phage Reprobate;;;;no;
Mycobacterium;Mycobacterium phage ;Rizal;Mycobacterium phage Rizal;;;;no;
Mycobacterium;Mycobacterium phage ;Rosebush;Mycobacterium phage Rosebush;;;;no;
Mycobacterium;Mycobacterium phage ;Sarfire;Mycobacterium phage Sarfire;;;;no;
Mycobacterium;Mycobacterium phage ;SargentShorty9;Mycobacterium phage SargentShorty9;;;;no;
Mycobacterium;Mycobacterium phage ;ScottMcG;Mycobacterium phage ScottMcG;;;;no;
Mycobacterium;Mycobacterium phage ;SDcharge11;Mycobacterium phage SDcharge11;;;;no;
Mycobacterium;Mycobacterium phage ;Severus;Mycobacterium phage Severus;;;;no;
Mycobacterium;Mycobacterium phage ;SiSi;Mycobacterium phage SiSi;;;;no;
Mycobacterium;Mycobacterium phage ;Solon;Mycobacterium phage Solon;;;;no;
Mycobacterium;Mycobacterium phage ;Spud;Mycobacterium phage Spud;;;;no;
Mycobacterium;Mycobacterium phage ;TM4;Mycobacterium phage TM4;;;;no;
Mycobacterium;Mycobacterium phage ;Troll4;Mycobacterium phage Troll4;;;;no;
Mycobacterium;Mycobacterium phage ;Trouble;Mycobacterium phage Trouble;;;;no;
Mycobacterium;Mycobacterium phage ;Tweety;Mycobacterium phage Tweety;;;;no;
Mycobacterium;Mycobacterium phage ;U2;Mycobacterium phage U2;;;;no;
Mycobacterium;Mycobacterium phage ;vB MapS FF47;Mycobacterium phage vB MapS FF47;;;;no;
Mycobacterium;Mycobacterium phage ;Wanda;Mycobacterium phage Wanda;;;;no;
Mycobacterium;Mycobacterium phage ;Wee;Mycobacterium phage Wee;;;;no;
Mycobacterium;Mycobacterium phage ;Wheeler;Mycobacterium phage Wheeler;;;;no;
Mycobacterium;Mycobacterium phage ;Whirlwind;Mycobacterium phage Whirlwind;;;;no;
Mycobacterium;Mycobacterium phage ;Wildcat;Mycobacterium phage Wildcat;;;;no;
Mycobacterium;Mycobacterium phage ;WIVsmall;Mycobacterium phage WIVsmall;;;;no;
Mycobacterium;Mycobacterium phlei;;Mycobacterium phlei;;;yes;no;
Mycobacterium;Mycobacterium rhodesiae;;Mycobacterium rhodesiae;;;yes;no;
Mycobacterium;Mycobacterium smegmatis;;Mycobacterium smegmatis;;humanMicrobiome;;no;
Mycobacterium;Mycobacterium sp. ;12931;Mycobacterium sp. 012931;;;yes;no;animal
Mycobacterium;Mycobacterium sp. ;141;Mycobacterium sp. 141;;;;;
Mycobacterium;Mycobacterium sp. ;155;Mycobacterium sp. 155;positive;;;;
Mycobacterium;Mycobacterium sp. ;360MFTsu5 1;Mycobacterium sp. 360MFTsu5 1;positive;;;;
Mycobacterium;Mycobacterium sp. ;H4Y;Mycobacterium sp. H4Y;positive;;;;
Mycobacterium;Mycobacterium sp. ;JDM601;Mycobacterium sp. JDM601;;;yes;yes;
Mycobacterium;Mycobacterium sp. ;JLS;Mycobacterium sp. JLS;;;;yes;
Mycobacterium;Mycobacterium sp. ;KMS;Mycobacterium sp. KMS;;;;yes;
Mycobacterium;Mycobacterium sp. ;MCS;Mycobacterium sp. MCS;;;;yes;
Mycobacterium;Mycobacterium sp. ;MOTT36Y;Mycobacterium sp. MOTT36Y;;;yes;no;
Mycobacterium;Mycobacterium thermoresistibile;;Mycobacterium thermoresistibile;;;yes;yes;
Mycobacterium;Mycobacterium tuberculosis;bovis africanum canetti;Mycobacterium tuberculosis bovis africanum canetti;;;yes;no;animal
Mycobacterium;Mycobacterium tusciae;;Mycobacterium tusciae;;;yes;no;
Mycobacterium;Mycobacterium ulcerans;;Mycobacterium ulcerans;;;yes;no;
Mycobacterium;Mycobacterium vaccae;;Mycobacterium vaccae;;;;no;
Mycobacterium;Mycobacterium vanbaalenii;;Mycobacterium vanbaalenii;;;;yes;
Mycobacterium;Mycobacterium xenopi;;Mycobacterium xenopi;;;yes;no;
Mycobacterium;Mycobacterium yongonense;;Mycobacterium yongonense;;;yes;no;
Mycoplasma;Mycoplasma agalactiae;;Mycoplasma agalactiae;;;;;animal
Mycoplasma;Mycoplasma alkalescens;;Mycoplasma alkalescens;;;;;
Mycoplasma;Mycoplasma alligatoris;;Mycoplasma alligatoris;;;;;animal
Mycoplasma;Mycoplasma anatis;;Mycoplasma anatis;;;;;
Mycoplasma;Mycoplasma arginini;;Mycoplasma arginini;;;;;
Mycoplasma;Mycoplasma arthritidis;;Mycoplasma arthritidis;;;;;
Mycoplasma;Mycoplasma auris;;Mycoplasma auris;;;;;animal
Mycoplasma;Mycoplasma bovigenitalium;;Mycoplasma bovigenitalium;;;;;
Mycoplasma;Mycoplasma bovis;;Mycoplasma bovis;;;;;
Mycoplasma;Mycoplasma canis;;Mycoplasma canis;;;;;
Mycoplasma;Mycoplasma capricolum;;Mycoplasma capricolum;;;;;
Mycoplasma;Mycoplasma columbinum;;Mycoplasma columbinum;;;;;
Mycoplasma;Mycoplasma conjunctivae;;Mycoplasma conjunctivae;;;;;
Mycoplasma;Mycoplasma crocodyli;;Mycoplasma crocodyli;;;;;animal
Mycoplasma;Mycoplasma cynos;;Mycoplasma cynos;;;;;animal
Mycoplasma;Mycoplasma fermentans;;Mycoplasma fermentans;positive;humanMicrobiome;;no;
Mycoplasma;Mycoplasma flocculare;;Mycoplasma flocculare;;;;;
Mycoplasma;Mycoplasma gallisepticum;;Mycoplasma gallisepticum;negative;;;no;animal
Mycoplasma;Mycoplasma genitalium;;Mycoplasma genitalium;;humanMicrobiome;;no;
Mycoplasma;Mycoplasma haemocanis;;Mycoplasma haemocanis;;;;;
Mycoplasma;Mycoplasma haemofelis;;Mycoplasma haemofelis;positive;;yes;no;animal
Mycoplasma;Mycoplasma hominis;;Mycoplasma hominis;negative;humanMicrobiome;;no;
Mycoplasma;Mycoplasma hyopneumoniae;;Mycoplasma hyopneumoniae;;;;no;
Mycoplasma;Mycoplasma hyorhinis;;Mycoplasma hyorhinis;;;;;
Mycoplasma;Mycoplasma iowae;;Mycoplasma iowae;negative;;yes;no;animal
Mycoplasma;Mycoplasma leachii;;Mycoplasma leachii;;;;no;animal
Mycoplasma;Mycoplasma moatsii;;Mycoplasma moatsii;;;;no;animal
Mycoplasma;Mycoplasma mobile;;Mycoplasma mobile;positive;;;no;animal
Mycoplasma;Mycoplasma mycoides;;Mycoplasma mycoides;negative;;yes;no;animal
Mycoplasma;Mycoplasma orale;;Mycoplasma orale;negative;humanMicrobiome;no;no;
Mycoplasma;Mycoplasma ovipneumoniae;;Mycoplasma ovipneumoniae;negative;;;no;animal
Mycoplasma;Mycoplasma parvum;;Mycoplasma parvum;;;;no;
Mycoplasma;Mycoplasma penetrans;;Mycoplasma penetrans;positive;humanMicrobiome;;no;
Mycoplasma;Mycoplasma phage ;MAV1;Mycoplasma phage MAV1;;;;;animal
Mycoplasma;Mycoplasma phage ;P1;Mycoplasma phage P1;;;;no;
Mycoplasma;Mycoplasma phage ;phiMFV1;Mycoplasma phage phiMFV1;;;;;
Mycoplasma;Mycoplasma pneumoniae;;Mycoplasma pneumoniae;negative;humanMicrobiome;yes;no;
Mycoplasma;Mycoplasma pulmonis;;Mycoplasma pulmonis;negative;;yes;no;animal
Mycoplasma;Mycoplasma putrefaciens;;Mycoplasma putrefaciens;;;yes;no;animal
Mycoplasma;Mycoplasma sp. ;G5847;Mycoplasma sp. G5847;negative;;;no;
Mycoplasma;Mycoplasma suis;;Mycoplasma suis;negative;;yes;no;animal
Mycoplasma;Mycoplasma synoviae;;Mycoplasma synoviae;negative;;yes;no;animal
Mycoplasma;Mycoplasma wenyonii;;Mycoplasma wenyonii;negative;;yes;no;animal
Mycoplasma;Mycoplasma yeatsii;;Mycoplasma yeatsii;;;no;no;animal
Myroides;Myroides injenensis;;Myroides injenensis;negative;;no;;
Myroides;Myroides odoratimimus;;Myroides odoratimimus;negative;;yes;no;animal
Myroides;Myroides odoratus;;Myroides odoratus;negative;;yes;;animal
Myxococcus;Myxococcus fulvus;;Myxococcus fulvus;negative;;;no;
Myxococcus;Myxococcus phage ;Mx8;Myxococcus phage Mx8;;;;no;
Myxococcus;Myxococcus stipitatus;;Myxococcus stipitatus;negative;;;;
Myxococcus;Myxococcus xanthus;;Myxococcus xanthus;negative;;;no;
Naegleria;Naegleria gruberi;;Naegleria gruberi;;;;no;
Nafulsella;Nafulsella turpanensis;;Nafulsella turpanensis;negative;;no;yes;
Nakamurella;Nakamurella multipartita;;Nakamurella multipartita;positive;;;yes;
Nanoarchaeum;Nanoarchaeum equitans;;Nanoarchaeum equitans;;;;yes;
Natranaerobius;Natranaerobius thermophilus;;Natranaerobius thermophilus;negative;;;yes;
Natrialba;Natrialba aegyptia;;Natrialba aegyptia;;;;;
Natrialba;Natrialba asiatica;;Natrialba asiatica;negative;;;yes;
Natrialba;Natrialba chahannaoensis;;Natrialba chahannaoensis;negative;;;yes;
Natrialba;Natrialba hulunbeirensis;;Natrialba hulunbeirensis;negative;;;yes;
Natrialba;Natrialba magadii;;Natrialba magadii;;;;yes;
Natrialba;Natrialba phage ;PhiCh1;Natrialba phage PhiCh1;;;;no;
Natrialba;Natrialba taiwanensis;;Natrialba taiwanensis;negative;;;yes;
Natrinema;Natrinema altunense;;Natrinema altunense;negative;;;yes;
Natrinema;Natrinema gari;;Natrinema gari;negative;;;yes;
Natrinema;Natrinema pallidum;;Natrinema pallidum;negative;;;yes;
Natrinema;Natrinema pellirubrum;;Natrinema pellirubrum;negative;;;yes;
Natrinema;Natrinema sp. ;J7 2;Natrinema sp. J7 2;negative;;;yes;
Natrinema;Natrinema versiforme;;Natrinema versiforme;negative;;;yes;
Natronobacterium;Natronobacterium gregoryi;;Natronobacterium gregoryi;;;;yes;
Natronococcus;Natronococcus amylolyticus;;Natronococcus amylolyticus;;;;yes;
Natronococcus;Natronococcus jeotgali;;Natronococcus jeotgali;variable;;;yes;
Natronococcus;Natronococcus occultus;;Natronococcus occultus;variable;;;yes;
Natronolimnobius;Natronolimnobius innermongolicus;;Natronolimnobius innermongolicus;negative;;;yes;
Natronomonas;Natronomonas pharaonis;;Natronomonas pharaonis;;;;yes;
Natronorubrum;Natronorubrum bangense;;Natronorubrum bangense;negative;;;yes;
Natronorubrum;Natronorubrum sulfidifaciens;;Natronorubrum sulfidifaciens;negative;;;yes;
Natronorubrum;Natronorubrum tibetense;;Natronorubrum tibetense;negative;;;yes;
Naumovozyma;Naumovozyma castellii;;Naumovozyma castellii;;;;;
Naumovozyma;Naumovozyma dairenensis;;Naumovozyma dairenensis;;;;;
Nautilia;Nautilia profundicola;;Nautilia profundicola;negative;;;yes;
Nectria;Nectria haematococca;;Nectria haematococca;;;no;no;plant
Neisseria;Neisseria bacilliformis;;Neisseria bacilliformis;negative;humanMicrobiome;yes;no;
Neisseria;Neisseria cinerea;;Neisseria cinerea;negative;humanMicrobiome;;no;
Neisseria;Neisseria elongata;;Neisseria elongata;negative;humanMicrobiome;yes;no;
Neisseria;Neisseria flavescens;;Neisseria flavescens;negative;humanMicrobiome;yes;no;
Neisseria;Neisseria gonorrhoeae;;Neisseria gonorrhoeae;negative;humanMicrobiome;yes;no;
Neisseria;Neisseria lactamica;;Neisseria lactamica;negative;humanMicrobiome;yes;no;
Neisseria;Neisseria macacae;;Neisseria macacae;negative;humanMicrobiome;;no;
Neisseria;Neisseria meningitidis;;Neisseria meningitidis;negative;humanMicrobiome;yes;no;
Neisseria;Neisseria mucosa;;Neisseria mucosa;negative;humanMicrobiome;yes;no;
Neisseria;Neisseria polysaccharea;;Neisseria polysaccharea;negative;humanMicrobiome;;no;
